Name,Category,Stock,NotifyThreshold,Storage_Information,Purchase_Location,Purchase_Date,Receipt,ID,Photo
Onn Tripod,Miscellaneous,1,,Unit A,,,,ID_148wbraze,/RGBA/warehouse/supply_photos/onn-67-inch-Tripod-with-Smartphone-Cradle-for-DSLR-Cameras-Smartphones-and-GoPro-Action-Cameras_0b9c57d2-7d4c-401b-9625-a3253b0c9c43.ecb4489ef678d985ff1de90c07220b1e.webp
Central Pneumatic Air Compressor 180psi,Heavy Duty,1,,Unit A,,,,ID_qwgzhhzbb,/RGBA/warehouse/supply_photos/central-pneumatic-central-pneumatic-30-gallon-180-psi-gas-powered-two-stage-air-compressor-air-compressor.jpg
Quincy Lab Oven,Heavy Duty,1,,Unit A,,,,ID_ujj6sp1f8,/RGBA/warehouse/supply_photos/66e8da73528ec_quincy-bench-oven-21-350_l.jpg
Corning Pyrex Jar,Lab Equipment,50,,Unit A,,,,ID_0mz64jdd0,/RGBA/warehouse/supply_photos/product.zoom.1200.jpg
Glacier Bay Dispenser LY619,Electronics,1,,Unit A,,,,ID_61bgi8u0h,/RGBA/warehouse/supply_photos/black-matte-glacier-bay-water-dispensers-ly619-64_1000.webp
Fiber-Lite MI-LED,Lab Equipment,1,,Unit A,,,,ID_yn0dcsbag,/RGBA/warehouse/supply_photos/16103-DG-DJ-Fiber-Lite-FO-Illuminator-Dual-Gooseneck_8b8af318-25b8-40f4-a4c2-2c0ce8914257.webp
VIEW4K Microscope Camera,Lab Equipment,1,,Unit A,,,,ID_l69a50xv1,/RGBA/warehouse/supply_photos/View4KMicroscopeCamera-Copy.webp
Nikon Microscope SMZ745T,Lab Equipment,1,,Unit A,,,,ID_okpav6wih,/RGBA/warehouse/supply_photos/nikon-smz745t-with-granite-tripod-repair-ball-table-and-hdmi-usb-camera.jpg
Nikon Microscope Stand,Lab Equipment,1,,Unit A,,,,ID_lf42q7fdn,/RGBA/warehouse/supply_photos/47642c_cff2d4c810c94d8a8174f629102a0dac~mv2.webp
Epson Document Scanner ES-300WR,Electronics,1,,Unit A,,,,ID_tuwq1vpw1,/RGBA/warehouse/supply_photos/01NUHSDf5pzpzjJxWjZUy9Q-5.webp
Dell Computer OptiPlex 3080,Electronics,1,,Unit A,,,,ID_vaf8u4qlo,/RGBA/warehouse/supply_photos/May_tinh_YY_ban_Dell_OptiPlex_3080_SFF_b-402x402-90.webp
HP OfficeJet Printer 8022e,Electronics,1,,Unit A,,,,ID_eamiiwl8t,/RGBA/warehouse/supply_photos/662360_533109_03_front_comping.jpg
"Brother Label Maker PT-D600 ",Electronics,1,,Unit A,,,,ID_mc6ftm79y,/RGBA/warehouse/supply_photos/Brother-P-Touch-PT-D600-PC-Connectable-Label-Maker-with-Color-Display-Black-BRTPTD600_76987c6e-4f62-475e-adf9-95af9ec43e7b_1.530d67adcf1c505dbc8bfdd1ba4aac27.avif
Humbolt Splitter,Heavy Duty,1,,Unit A,,,,ID_1271qxj7l,/RGBA/warehouse/supply_photos/H-3962.png
Ryobi Pressure Washer 2300psi,Tools,1,,Unit B,,,,ID_eh2e99twk,/RGBA/warehouse/supply_photos/8f5ab9f2dc424f69bdd27633eaf73b06.jpg
Haul Master 3500 lb. Trailer Jack,Heavy Duty,1,,Unit B,,,,ID_5vh6vlct5,/RGBA/warehouse/supply_photos/58203_W10.jpg
Duralast Trolley Jack,Tools,1,,Unit B,,,,ID_v8uvzjnon,/RGBA/warehouse/supply_photos/download.avif
Gilson Splitter SP-2,Heavy Duty,2,,Unit B,,,,ID_f21rx45hu,/RGBA/warehouse/supply_photos/0026538_universal-sample-splitters.jpeg
Coleman Chiller,Miscellaneous,1,,Unit B,,,,ID_pi2bh45x1,/RGBA/warehouse/supply_photos/0007650116296.webp
Husky Mobile Work Cart,Tools,2,,Unit B,,,,ID_8w3lydakv,/RGBA/warehouse/supply_photos/s-l1200 (1).jpg
Big Tex Trailer,Heavy Duty,1,,Unit B,,,,ID_b394wfbcp,/RGBA/warehouse/supply_photos/30ES-HERO (1).jpg
4-Wheel Trailer,Heavy Duty,1,,Unit B,,,,ID_9kberyavh,/RGBA/warehouse/supply_photos/Utility-Trailer-TRLU-6412LEO-280C__97989.png
Storage Rack,Tools,1,,Unit B,,,,ID_uyompgc3o,/RGBA/warehouse/supply_photos/image_26050.jpg
Studio Light Box,Miscellaneous,1,,Unit A,,,,ID_ezaxz0n1u,/RGBA/warehouse/supply_photos/PRO7713_3.jpg
Husky Hand Truck Trolley,Heavy Duty,1,,Unit B,,,,ID_auhsji4as,/RGBA/warehouse/supply_photos/rack.png
"Husky Workcenter H27LOCKER4 ",Heavy Duty,1,,Unit B,,,,ID_vfnl1onwz,/RGBA/warehouse/supply_photos/634d3b05d2447323037967f3-80-in-10-drawer-garage-workcenter-24.jpg
Husky Modular Tool Storage,Heavy Duty,1,,Unit B,,,,ID_xtzg6v524,/RGBA/warehouse/supply_photos/51z2C882zlL._AC_SL1000_.jpg
Platform Scale,Electronics,1,,Unit B,,,,ID_tw4xk2s23,/RGBA/warehouse/supply_photos/1-2024-07-04T151013.044-1024x1024.jpg
Badland Winch ZXR 5000,Heavy Duty,1,,Unit B,,,,ID_r43esoe1z,/RGBA/warehouse/supply_photos/56326_W3.jpg
Respirator Mask,Lab Equipment,4,,Unit B,,,,ID_zflry9d1d,/RGBA/warehouse/supply_photos/res.jpg
Stanley Level,Tools,1,,Unit B,,,,ID_2rrfmb9z6,/RGBA/warehouse/supply_photos/6XV54_AS01.jpeg
Adjustable Roller Stand,Tools,3,,Unit B,,,,ID_kna5pmw5f,/RGBA/warehouse/supply_photos/20200110084301.jpg.webp
Adjustable 5 Roller Stand,Tools,2,,Unit B,,,,ID_6as1sxiiy,/RGBA/warehouse/supply_photos/d2274__35775.jpg
"Lincon Electric Welding Helmet ",Tools,1,,Unit B,,,,ID_1o286flo2,/RGBA/warehouse/supply_photos/lincoln-electric-welding-helmets-k4438-1-4f_600.webp
Bessey Angle Clamp,Tools,1,,Unit B,,,,ID_9u6rmny1a,/RGBA/warehouse/supply_photos/49957-01-1000_1.jpg.webp
VECTOR 500 Watt Power Inverter,Electronics,1,,Unit B,The Home Depot,,,ID_bcculd5k9,/RGBA/warehouse/supply_photos/vector-car-power-inverters-pi500v-64_600.webp
Husky Drain Spade,Tools,1,,Unit B,The Home Depot,,,ID_ei4tva6k7,/RGBA/warehouse/supply_photos/husky-shovels-77444-944-64_600.avif
Predator Gas Powered Drill,Mining Equipment,1,,Unit B,,,,ID_mhbzhir4c,/RGBA/warehouse/supply_photos/57341_W3.jpg
Igloo Chiller,Miscellaneous,1,,Unit B,,,,ID_oifilskwd,/RGBA/warehouse/supply_photos/9Q5B4.webp
Zircon Stud Finder e50,Tools,1,,Unit B,,,,ID_yfneky3o6,/RGBA/warehouse/supply_photos/Zircon_StudSensor_e50.jpg
Milwaukee Bold Like Chalk Reel,Tools,1,,Unit B,,,,ID_yd7y3k6gl,/RGBA/warehouse/supply_photos/Integrated Supply Network LLC_MLW48xx22xx3980xx1200Wx1200Hxxb1edf4.avif
Performance Tool Multimeter,Tools,1,,Unit B,,,,ID_wy0jrw4la,/RGBA/warehouse/supply_photos/71CUR974-xL.jpg
Dremel Multi-Max Oscillating Tool MM35,Tools,1,,Unit B,,,,ID_6zqlgk8x4,/RGBA/warehouse/supply_photos/ItemImage-347293-8jn9234fgtmg6fcc8htrpn87.jpg
Hart Drill HPDD01VN,Tools,1,,Unit B,,,,ID_gvjitm5i5,/RGBA/warehouse/supply_photos/HART-1-2-inch-Drill-Driver-Battery-Not-Included_3b21cbdb-d086-4ed6-97e6-a6507b9af290.1cd9621ac79d84a32ef8961070fa8bda.avif
DeWALT Tape Measure DWHT36235THS,Tools,1,,Unit B,,,,ID_jelsamuob,/RGBA/warehouse/supply_photos/shopping.webp
Stanley Tape Measure,Tools,1,,Unit B,,,,ID_09pol3dx3,/RGBA/warehouse/supply_photos/resize.jpeg
DeWALT Stud Finder DW0150,Tools,1,,Unit B,,,,ID_0twfz9nkq,/RGBA/warehouse/supply_photos/dewalt-stud-finders-dw0150-40_600.avif
Craftsman Level,Tools,1,,Unit B,,,,ID_59jn7ie0m,/RGBA/warehouse/supply_photos/CRAFTSMAN-00948295-CM-LEVEL-TORPEDO-DIGITAL_6263b468-6336-46f9-b52a-5e28c99da259.c116316534b881daa082fa63b0fbfa1a.jpeg
"AikTryee Laser Level Pro3 ",Tools,1,,Unit B,,,,ID_alf2tc7f6,/RGBA/warehouse/supply_photos/Laser Level Pro3 Horizontal Vertical 8FT 250cm Measuring Tape Ruler (2)-1024x768_0.jpg
"Adam Equipment Bench Scale LBX 6 Compact ",Electronics,2,,Unit B,,,,ID_reza8cin6,/RGBA/warehouse/supply_photos/adam-equipment-lbx-6-latitude-compact-bench-scale-12-lb-x-0.002-lb__46662.jpg
Empire Rafter,Tools,1,,Unit B,,,,ID_1e5gkw0bv,/RGBA/warehouse/supply_photos/2PC-Empire-Empire-296-Polysquare-Rafter-Square-Polycast-Blue-7-H-x-7-L_a8472bf6-7f57-438d-ba0d-db608860c652.4c66b48809d83d0d74784cd1bee9e473.webp
Libman Broom,Tools,1,,Unit C,,,,ID_wxmaywi4v,/RGBA/warehouse/supply_photos/2109500.webp
Quickie Broom,Tools,1,,Unit C,,,,ID_xl6oox5rd,/RGBA/warehouse/supply_photos/Quickie-Push-Broom-60-in-Handle-L-24-in-Face-857HDSU_bf4d0dbe-b8a6-4765-bb07-ed824b3260f7.4fcccf3dd5cdc7d3a45ef6da322b9201.webp
Portland Hedge Trimmer,Tools,11,,Unit C,,,,ID_nfu4pz3p4,/RGBA/warehouse/supply_photos/62630_W3.jpg
Black Decker EV1416,Electronics,1,,Unit C,,,,ID_uw7x2ublt,/RGBA/warehouse/supply_photos/Black-Decker-3-in-1-Lightweight-Corded-Upright-and-Handheld-Multi-Surface-Vacuum-EV1416_4361b30c-184f-49da-bb24-9f37127471d2.9eda4db637e6d2219921957a6af17107.jpeg
Netgear WiFi 6 Router AX1600,Electronics,1,,Unit C,,,,ID_1nmvnwb6n,/RGBA/warehouse/supply_photos/Main_RAX5-CA-EN_tcm148-151438.jpeg
Toshiba Air Conditioner,Electronics,1,,Unit C,The Home Depot,,,ID_8udjk0k2q,/RGBA/warehouse/supply_photos/51PEWFKDiyL.jpg
Commercial Care Washing Machine,Electronics,1,,Unit C,,,,ID_oe9lt12a3,/RGBA/warehouse/supply_photos/61X8CcpxP7L.jpg
Magic Chef Dryer MCSDRY15W,Electronics,1,,Unit C,,,,ID_emi6ejbwq,/RGBA/warehouse/supply_photos/white-magic-chef-electric-dryers-mcsdry15w-64_1000.avif
